Mouse # / gating level,Statistic (%),# of Cells
1112 tumor.fcs,12411360,
1112 tumor.fcs/All Cells,21,2603934
1112 tumor.fcs/All Cells/Single Cells,80.5,2095324
1112 tumor.fcs/All Cells/Single Cells/Single Cells,94.3,1976801
1112 tumor.fcs/All Cells/Single Cells/Single Cells/Live,48,949456
1112 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+,88.5,840092
1112 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,89.7,753432
1112 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,9.36,70508
1112 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+ Macs,11.2,84150
"1112 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q1: CD11b- , F4 80+",0.00476,40
"1112 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q2: CD11b+ , F4 80+",85.3,716228
"1112 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q3: CD11b+ , F4 80-",4.74,39831
"1112 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q4: CD11b- , F4 80-",10,83993
1124 tumor.fcs,2935112,
1124 tumor.fcs/All Cells,32,940514
1124 tumor.fcs/All Cells/Single Cells,77.8,731580
1124 tumor.fcs/All Cells/Single Cells/Single Cells,93.2,682121
1124 tumor.fcs/All Cells/Single Cells/Single Cells/Live,61.8,421619
1124 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+,92.7,390743
1124 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,88.9,347470
1124 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,52,180648
1124 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+ Macs,52,180648
"1124 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q1: CD11b- , F4 80+",0.014,56
"1124 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q2: CD11b+ , F4 80+",79.3,309930
"1124 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q3: CD11b+ , F4 80-",11.2,43874
"1124 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q4: CD11b- , F4 80-",10.1,39309
1125 tumor.fcs,6478728,
1125 tumor.fcs/All Cells,34,2199766
1125 tumor.fcs/All Cells/Single Cells,78,1716700
1125 tumor.fcs/All Cells/Single Cells/Single Cells,92,1578812
1125 tumor.fcs/All Cells/Single Cells/Single Cells/Live,64,1011067
1125 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+,78.2,790266
1125 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,96.5,762668
1125 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,20.1,153669
1125 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+ Macs,21.3,162634
"1125 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q1: CD11b- , F4 80+",0.016,127
"1125 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q2: CD11b+ , F4 80+",92.5,730646
"1125 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q3: CD11b+ , F4 80-",5.06,39985
"1125 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q4: CD11b- , F4 80-",2.47,19508
1138 TUMOR.fcs,312528,
