MouseID,CellLine,Total,Lymphocytes,SingleCells,Live,CD45,CD3,CD4,CD8,CD69,CD69CD103,CD103,LAG3,PD1,CD19
1023,N1343,11272512,1017256,981584,190502,160761,81896,26028,21507,18243,962,1145,19419,16607,NA
1044,N1343,9636776,364656,328030,98694,85801,24476,13558,6047,4813,413,1045,925,1994,NA
1045,N1343,15577672,822815,774997,525583,369896,84615,44797,11756,72,5,2294,252,1714,NA
1088,N1343,11194392,2035371,1807392,880273,659244,99411,37223,28803,20521,566,1677,6820,12015,NA
1103,N1343,8883872,719947,640194,344078,310314,76810,31165,27332,18139,461,1819,5233,6381,NA
1107,N1018,6378832,602476,560491,451464,391167,97150,66253,9719,5671,438,1906,1515,4391,NA
1108,N1018,4902856,535041,512584,347816,305455,31268,15168,5225,2335,417,1725,661,1617,NA
1109,N1018,5864936,614091,596022,398801,358063,88576,52318,15316,8340,849,2801,1122,4688,NA
1125,N1011,6478728,1007466,977599,475565,301742,15061,5673,3578,2993,66,178,185,1255,1150
1126,N1018,12794008,921288,857552,509760,484733,123759,77463,20228,14638,1423,2829,3517,10740,NA
1127,N1018,12447928,845228,802547,457352,432336,117121,70245,23910,13522,1603,3995,4674,9803,NA
1131,N1018,12235800,1856712,1803112,1623747,184907,28823,11440,5807,NA,NA,1937,NA,2176,NA
1138,N1011,312528,31971,29710,6272,4249,576,105,63,47,1,3,17,38,288
1193,N1011,9658400,653614,596820,429492,378694,168944,63743,77975,69994,1826,4596,922,58887,29317
1196,N1011,7072080,527604,488815,247918,221301,67379,41466,14098,9893,946,1403,1296,7173,3828
1206,N1018,14879120,700079,643401,251411,169529,47174,23388,4365,2596,375,1327,127,1411,8553
1207,N1018,14419192,921175,880584,370556,331682,135400,69509,30919,25297,2921,5048,3973,11686,11061
1208,N1018,14615496,518741,489293,267267,254839,80584,41197,20946,14720,2660,6009,871,7851,23737
1213,N1018,10188272,606418,577177,304883,155301,28196,10087,5342,3455,293,1073,483,1072,5459
1214,N1018,11292464,502310,466224,343335,223337,53770,14922,13831,10130,965,2205,2205,7204,6968
1243,N1343,6631022,210425,201147,177873,162000,71651,25424,26236,21836,590,1509,3385,11427,7385
1244,N1343,8306485,75217,71443,49481,44133,27119,10471,8887,7903,311,906,805,3345,6253
1245,N1343,8564464,294053,283066,207892,200473,122967,30428,64782,59676,1225,2765,8873,27242,10212
1249,N1343,6898754,143409,135594,83605,79719,41125,15802,12777,9336,284,560,2118,6230,7224
1252,N1343,6798993,87442,85445,54151,40489,21168,10470,5500,4490,144,684,1501,3195,3894
1253,N1343,7512604,237547,232778,164475,159617,80846,26118,34637,28665,1345,2499,4315,10335,17331
