MouseID,CellLine,Treatment,Total,AllCells,SingleCells1,SingleCells2,Live,CD45,CD11b,CD11bF480,F480high
1125,N1011,None,6478728,2199766,1716700,1578812,1011067,790266,762668,730646,162634
1138,N1011,None,312528,78215,56485,49458,17161,12399,11542,10449,5675
1139,N1011,None,1132248,558394,374074,302857,221424,178328,109021,102850,36213
1193,N1011,None,9658400,4433479,2609138,2346581,2008024,1893179,1594864,1494585,742219
1196,N1011,None,7072080,2210874,1586439,1441169,850856,794626,709441,683379,279269
1206,N1018,None,14879120,5077444,3410924,3035642,1956466,1746914,1638045,1360404,589697
1207,N1018,None,14419192,5807050,3638367,3084619,1639213,1550768,1343559,1083186,702337
1208,N1018,None,14615496,4938803,3530753,3120667,1672651,1627028,1522180,895636,1277581
1213,N1018,None,10188272,4571583,2370770,1928576,1461360,1204569,1147948,1135673,588572
1214,N1018,None,11292464,4000940,2495503,2083193,1567112,1367565,1281150,1243289,572317
1243,N1343,None,6631022,5056257,3139187,2770658,2570405,2481370,2307158,2305927,1651099
1244,N1343,None,8306485,2612732,1579014,772548,471459,430835,379483,254170,147756
1245,N1343,None,8564464,4927505,3106394,2844039,2152975,2088745,1838659,1714381,1844254
1249,N1343,None,6898754,3379033,2279318,2066591,1173399,1128409,1047546,1016633,448736
1252,N1343,None,6798993,2201791,1567314,1154846,698328,618572,578715,432294,306430
1253,N1343,None,7512604,3028811,2048665,1661159,810399,772930,624710,545929,404414
