Sample,Target,Cq
N1011,Trp53,35.49383
N1011,PTEN,Undetermined
N1011,GAPDH,22.76237
N1018,Trp53,35.51296
N1018,PTEN,Undetermined
N1018,GAPDH,20.27467
N1343,Trp53,35.31596
N1343,PTEN,Undetermined
N1343,GAPDH,21.12114
N1011,Trp53,34.24572
N1011,PTEN,Undetermined
N1011,GAPDH,20.93584
N1018,Trp53,34.8409
N1018,PTEN,Undetermined
N1018,GAPDH,19.9678
N1343,Trp53,34.66564
N1343,PTEN,Undetermined
N1343,GAPDH,20.79157
3T3 D0,Trp53,20.303
3T3 D0,PTEN,21.198
3T3 D0,GAPDH,18.387
3T3 D0,Pparg,24.313
3T3 D0,Cebpa,27.654
3T3 D0,AdipoQ,28.816
3T3 D0,FabP4,21.965
3T3 D2,Trp53,23.075
3T3 D2,PTEN,22.579
3T3 D2,GAPDH,19.831
3T3 D2,Pparg,24.501
3T3 D2,Cebpa,26.178
3T3 D2,AdipoQ,23.445
3T3 D2,FabP4,18.575
3T3 D9,Trp53,23.57
3T3 D9,PTEN,21.66
3T3 D9,GAPDH,21.391
3T3 D9,Pparg,22.724
3T3 D9,Cebpa,25.656
3T3 D9,AdipoQ,18.73
3T3 D9,FabP4,17.352
N1011,Trp53,34.967
N1011,PTEN,Undetermined
N1011,GAPDH,20.969
N1011,Pparg,29.073
N1011,Cebpa,27.267
N1011,AdipoQ,29.314
N1011,FabP4,27.767
N1018,Trp53,34.166
N1018,PTEN,37.733
N1018,GAPDH,19.399
N1018,Pparg,29.08
N1018,Cebpa,28.392
N1018,AdipoQ,29.258
N1018,FabP4,25.619
N1343,Trp53,34.973
N1343,PTEN,Undetermined
N1343,GAPDH,21.089
N1343,Pparg,30.352
N1343,Cebpa,27.175
N1343,AdipoQ,29.273
N1343,FabP4,26.783
3T3 D0,Trp53,20.507
3T3 D2,Trp53,22.965
3T3 D9,Trp53,23.618
N1011,Trp53,34.562
N1018,Trp53,34.246
N1343,Trp53,34.481
3T3 D0,Cebpa,28.46
3T3 D2,Cebpa,26.61
3T3 D9,Cebpa,26.096
N1011,Cebpa,28.021
N1018,Cebpa,29.166
N1343,Cebpa,28.609
3T3 D0,Trp53,20.637
3T3 D2,Trp53,23.134
3T3 D9,Trp53,23.916
N1011,Trp53,34.772
N1018,Trp53,35.89
N1343,Trp53,35.992
3T3 D0,Cebpa,28.368
3T3 D2,Cebpa,26.653
3T3 D9,Cebpa,25.792
N1011,Cebpa,28.094
N1018,Cebpa,29.169
N1343,Cebpa,28.308
3T3 D0,PTEN,21.946
3T3 D2,PTEN,22.026
3T3 D9,PTEN,21.846
N1011,PTEN,Undetermined
N1018,PTEN,Undetermined
N1343,PTEN,Undetermined
3T3 D0,AdipoQ,29.76
3T3 D2,AdipoQ,24.096
3T3 D9,AdipoQ,19.261
N1011,AdipoQ,30.171
N1018,AdipoQ,30.122
N1343,AdipoQ,30.314
3T3 D0,PTEN,21.962
3T3 D2,PTEN,21.954
3T3 D9,PTEN,21.737
N1011,PTEN,Undetermined
N1018,PTEN,Undetermined
N1343,PTEN,Undetermined
3T3 D0,AdipoQ,29.953
3T3 D2,AdipoQ,24.203
3T3 D9,AdipoQ,18.898
N1011,AdipoQ,30.362
N1018,AdipoQ,30.157
N1343,AdipoQ,30.204
3T3 D0,GAPDH,19.185
3T3 D2,GAPDH,20.252
3T3 D9,GAPDH,21.471
N1011,GAPDH,21.697
N1018,GAPDH,19.929
N1343,GAPDH,21.946
3T3 D0,FabP4,22.466
3T3 D2,FabP4,18.053
3T3 D9,FabP4,17.537
N1011,FabP4,28.605
N1018,FabP4,25.805
N1343,FabP4,26.981
3T3 D0,GAPDH,19.281
3T3 D2,GAPDH,20.325
3T3 D9,GAPDH,21.426
N1011,GAPDH,21.811
N1018,GAPDH,20.475
N1343,GAPDH,22.074
3T3 D0,FabP4,22.367
3T3 D2,FabP4,18.195
3T3 D9,FabP4,17.306
N1011,FabP4,28.163
N1018,FabP4,25.879
N1343,FabP4,27.334
3T3 D0,Pparg,24.675
3T3 D2,Pparg,23.97
3T3 D9,Pparg,22.545
N1011,Pparg,29.976
N1018,Pparg,30.078
N1343,Pparg,30.475
3T3 D0,Pparg,24.7
3T3 D2,Pparg,24.057
3T3 D9,Pparg,22.895
N1011,Pparg,29.42
N1018,Pparg,29.945
N1343,Pparg,31.413
